Format Version,1.23,Take Name,C22_F_5,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-09 10.06.40.803 AM,Capture Start Frame,120210,Total Frames in Take,7364,Total Exported Frames,7364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.130000,327.029663,213.174438,86.291885,261.675354,175.037979,85.196251,248.188065,213.747604,85.280869,255.426819,261.403534,85.420410,264.104187,212.682175,84.870903,311.610565,211.312439,85.491112,320.882141,261.078278,86.786102,288.169220,261.230347,85.754471,313.266571,173.779846,86.508942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.135000,327.028198,213.182495,86.296776,261.676941,175.048538,85.197990,248.188065,213.744385,85.277718,255.424850,261.399261,85.422279,264.065521,212.210480,84.732758,311.541870,211.257996,85.526657,320.887024,261.070557,86.779594,288.160492,261.234222,85.753555,313.259247,173.784363,86.512527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.140000,327.013092,213.174652,86.290588,261.676392,175.045868,85.192467,248.192566,213.744186,85.277313,255.424469,261.401947,85.424850,264.108124,212.641525,84.852341,311.613281,211.261475,85.475754,320.889313,261.067505,86.776237,288.157745,261.236694,85.765030,313.256073,173.784409,86.512146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.145000,327.022736,213.176331,86.295052,261.596832,175.118576,85.251495,248.197403,213.740448,85.272308,255.424026,261.396118,85.424416,264.111847,212.894043,84.890923,311.612183,211.302124,85.489723,320.889221,261.070465,86.769417,288.152161,261.236237,85.761879,313.261627,173.779388,86.506409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.150000,327.028137,213.171539,86.294640,261.679352,175.050247,85.195335,248.259720,213.757950,85.427681,255.424942,261.400970,85.421509,264.054779,212.232834,84.741554,311.609680,211.317352,85.494247,320.890869,261.072083,86.770584,288.151459,261.231293,85.759811,313.272614,173.768570,86.496643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.155000,327.024323,213.174957,86.293304,261.680359,175.032669,85.188293,248.221375,213.741714,85.268616,255.426376,261.397491,85.414185,264.132416,212.229858,84.708992,311.612091,211.310333,85.494484,320.881714,261.078247,86.781235,288.159698,261.226288,85.760063,313.283936,173.761215,86.497101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.160000,327.028809,213.164963,86.286423,261.683441,175.024261,85.190559,248.195343,213.734451,85.267014,255.422943,261.402985,85.417297,264.111938,212.663422,84.871246,311.610901,211.311951,85.489189,320.889771,261.069000,86.778267,288.152710,261.232849,85.761078,313.287476,173.754761,86.489464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.165000,327.028625,213.172897,86.294182,261.675323,175.035156,85.188858,248.189301,213.733856,85.274879,255.426315,261.404755,85.422104,264.050751,212.228958,84.745247,311.609253,211.314697,85.489540,320.889679,261.064636,86.775627,288.157776,261.237091,85.763725,313.294342,173.749207,86.486641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.170000,327.026367,213.177078,86.299431,261.677612,175.039825,85.189796,248.187973,213.743469,85.274498,255.429123,261.397247,85.416321,264.046051,212.148987,84.716576,311.612762,211.307617,85.492706,320.888947,261.069733,86.773529,288.166931,261.229919,85.753944,313.281952,173.757339,86.492264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.175000,327.023285,213.181931,86.296097,261.601440,175.120193,85.248581,248.193497,213.741852,85.273872,255.426559,261.406769,85.423058,264.102783,212.666870,84.870888,311.613190,211.311310,85.486382,320.886688,261.069580,86.780869,288.161926,261.238464,85.759789,313.276306,173.766983,86.498093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
