rawData = [
595,16.64,0.64
596,16.60,0.72
597,16.62,0.73
598,16.62,0.83
599,16.61,0.63
600,16.63,0.72
601,16.61,0.72
602,16.60,0.79
603,16.62,0.60
604,16.63,0.65
605,16.63,0.73
606,16.64,0.73
607,16.64,0.86
608,16.64,0.60
609,16.63,0.69
610,16.63,0.74
611,16.64,0.76
612,16.64,0.63
613,16.65,0.66
614,16.64,0.70
615,16.69,0.72
616,16.63,0.58
617,16.63,0.61
618,16.63,0.66
619,16.63,0.70
620,16.62,0.57
621,16.62,0.59
622,16.62,0.64
623,16.63,0.67
624,16.63,0.72
625,16.62,0.57
626,16.62,0.61
627,16.64,0.64
628,16.62,0.70
629,16.62,0.55
630,16.60,0.56
631,16.60,0.61
632,16.59,0.64
633,16.61,0.71
634,16.58,0.54
635,16.57,0.63
636,16.58,0.66
637,16.58,0.73
638,16.60,0.58
639,16.60,0.62
640,16.60,0.66
641,16.59,0.69
642,16.59,0.86
643,16.61,0.60
644,16.52,0.68
645,16.51,0.71
646,16.52,0.74
647,16.53,0.61
648,16.53,0.67
649,16.54,0.69
650,16.54,0.72
651,16.54,0.59
652,16.54,0.62
653,16.54,0.66
654,16.52,0.71
655,16.51,0.55
656,16.50,0.62
657,16.51,0.66
658,16.51,0.70
659,16.49,0.55
660,16.51,0.61
661,16.50,0.64
662,16.51,0.70
663,16.51,0.72
664,16.50,0.59
665,16.50,0.63
666,16.52,0.67
667,16.51,0.71
668,16.51,0.61
669,16.51,0.66
670,16.51,0.73
671,16.54,0.77
672,16.51,0.59
673,16.52,0.63
674,16.51,0.65
675,16.52,0.72
676,16.51,0.56
677,16.51,0.66
678,16.50,0.66
679,16.49,0.74
680,16.49,0.56
681,16.50,0.62
682,16.50,0.63
683,16.50,0.69
684,16.49,0.54
685,16.47,0.59
686,16.46,0.63
687,16.46,0.65
688,16.46,0.71
689,16.45,0.56
690,16.46,0.62
691,16.44,0.68
692,16.45,0.79
693,16.48,0.59
694,16.47,0.64
695,16.46,0.67
696,16.46,0.69
697,16.47,0.59
698,16.48,0.62
699,16.49,0.70
700,16.49,0.79
701,16.47,0.86
702,16.54,0.66
703,16.47,0.66
704,16.49,0.71
705,16.50,0.76
706,16.48,0.62
707,16.49,0.68
708,16.49,0.70
709,16.49,0.75
710,16.49,0.60
711,16.52,0.71
712,16.50,0.71
713,16.49,0.72
714,16.50,0.61
715,16.52,0.66
716,16.52,0.68
717,16.53,0.74
718,16.55,0.56
719,16.57,0.68
720,16.54,0.73
721,16.60,0.76
722,16.55,0.57
723,16.54,0.59
724,16.54,0.67
725,16.58,0.73
726,16.58,0.90
727,16.62,0.69
728,16.54,0.62
729,16.51,0.63
730,16.53,0.75
731,16.54,0.66
732,16.56,0.62
733,16.58,0.61
734,16.58,0.71
735,16.56,0.72
736,16.54,0.57
737,16.54,0.58
738,16.55,0.65
739,16.54,0.66
740,16.54,0.55
741,16.53,0.57
742,16.53,0.63
743,16.53,0.63
744,16.53,0.72
745,16.54,0.56
746,16.54,0.63
747,16.54,0.66
748,16.53,0.69
749,16.53,0.53
750,16.54,0.59
751,16.53,0.62
752,16.53,0.69
753,16.53,0.54
754,16.53,0.59
755,16.53,0.61
756,16.53,0.67
757,16.53,0.72
758,16.53,0.57
759,16.53,0.61
760,16.53,0.64
